1. Bajo	2. Medio/Bajo	3. Medio/Alto	4. Alto
97	1720	171	2137
382	1755	370	2409
1021.0	2116.0	793.0	---
1452.0	2167.0	2643.0	---
1853.0	2843.0	2744.0	---
---	2885.0	---	---
