1. Bajo	2. Medio/Bajo	3. Medio/Alto	4. Alto
358	307	39	616
380	493	218	814
485	538	324	1174
732	660	1334	1353
1055	811	1372	1423
1173	1030	1632	1575
1390	1040	1879	1930
1437	1077	1995	1967
1594	1116	2105	2019
1725	1307	2115	2377
1990	1343	2600	2729
1996	1351	2966	2742
2196.0	1355.0	---	2855.0
2357.0	1436.0	---	2902.0
2562.0	1521.0	---	---
2568.0	1921.0	---	---
2621.0	1925.0	---	---
2662.0	1948.0	---	---
2845.0	2326.0	---	---
2850.0	2367.0	---	---
2946.0	2546.0	---	---
2951.0	2919.0	---	---
