1. Bajo	2. Medio/Bajo	3. Medio/Alto	4. Alto
163	80	112	148
2175	205	313	527
2359	921	1220	1216
---	2619.0	1251.0	1591.0
---	2715.0	1744.0	2428.0
---	2825.0	2343.0	2860.0
---	---	2925.0	---
