1. Bajo	2. Medio/Bajo	3. Medio/Alto	4. Alto
229	136	1356	1504
791	523	1477	2467
1396.0	1145.0	2159.0	---
2581.0	1166.0	2309.0	---
2857.0	2790.0	2674.0	---
---	---	2924.0	---
