1. Bajo	2. Medio/Bajo	3. Medio/Alto	4. Alto
1357	141	233	373
1500	735	324	1417
---	1245.0	1131.0	2166.0
---	1286.0	1304.0	2341.0
---	1344.0	1333.0	---
---	1456.0	1527.0	---
---	1462.0	1736.0	---
---	1582.0	2078.0	---
---	1897.0	2170.0	---
---	2802.0	2455.0	---
---	2900.0	2696.0	---
---	2946.0	---	---
