1. Bajo	2. Medio/Bajo	3. Medio/Alto	4. Alto
1141	876	970	2661
---	1236.0	1208.0	2716.0
---	1399.0	1242.0	2782.0
---	1442.0	2078.0	---
---	1579.0	2147.0	---
---	1630.0	2605.0	---
---	1902.0	---	---
