1. Bajo	2. Medio/Bajo	3. Medio/Alto	4. Alto
313	1201	1128	2089
978.0	1360.0	2074.0	---
1646.0	2123.0	2334.0	---
1659.0	2162.0	2338.0	---
1734.0	2211.0	---	---
2290.0	---	---	---
